"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSMUSG00000003882",2657.19754254034,-4.97173450687282,0.118699185080608,-41.8851612460232,0,0
"2","ENSMUSG00000023992",9680.18037092335,-4.81055202625185,0.140792491726404,-34.1676744779827,7.30725781116134e-256,7.96271883682251e-252
"3","ENSMUSG00000030047",4835.77830586002,-4.07200900904133,0.120291935666195,-33.8510556546448,3.5016754413958e-251,2.54385048565934e-247
"4","ENSMUSG00000035186",6250.39923155196,-5.5092100528072,0.170124349100779,-32.3834306019511,4.69685463626898e-230,2.55908124857115e-226
"5","ENSMUSG00000026981",1436.08066568129,-4.68349803790439,0.147218608744189,-31.8132203384869,4.24922905563253e-222,1.85215396076911e-218
"6","ENSMUSG00000025473",10263.0628737742,-4.6526886367848,0.151253206132144,-30.7609257070553,8.73496145822524e-208,3.17282916700935e-204
"7","ENSMUSG00000040751",1783.91509230508,-3.70810706816917,0.121996621594447,-30.395161929123,6.36417897396319e-203,1.9814416651222e-199
"8","ENSMUSG00000032122",8004.50781197863,-4.50115128155825,0.150727311173288,-29.8628778455643,5.9739950254853e-196,1.62746559481783e-192
"9","ENSMUSG00000027698",5087.55805189503,-3.76537234526065,0.126419991420427,-29.7846274386967,6.17908046674924e-195,1.49629866324814e-191
"10","ENSMUSG00000026358",2075.02770712865,-6.48904994210129,0.221758079397994,-29.2618422729719,3.17418429647502e-188,6.91781725573766e-185
"11","ENSMUSG00000036086",3337.92273003547,-5.18722638451919,0.177716525874112,-29.1882049742162,2.73746193213982e-187,5.42365866809593e-184
"12","ENSMUSG00000050335",46704.4976257367,-3.56598439641615,0.122822187305597,-29.0337151181288,2.47070497061412e-185,4.48721201079701e-182
"13","ENSMUSG00000030789",12015.7606166184,-5.10924574912445,0.177221894577516,-28.8296531379744,9.11778225587199e-183,1.52856112680365e-179
"14","ENSMUSG00000032220",7222.65412248672,-3.3920517467771,0.11821891898463,-28.6929687389387,4.66934999103432e-181,7.268843836043e-178
"15","ENSMUSG00000039062",10568.1354376417,-3.07152951266621,0.107567952375081,-28.5543179436568,2.48276481236256e-179,3.60729175470865e-176
"16","ENSMUSG00000063193",3750.06104119189,-3.80653925509464,0.134106869491247,-28.3843718784525,3.15317714336275e-177,4.29502141640299e-174
"17","ENSMUSG00000024781",21010.6132609359,-2.97161717811194,0.105851866262563,-28.073356503143,2.07232516836945e-173,2.65672086584963e-170
"18","ENSMUSG00000003363",12108.549118199,-2.42353320115091,0.0863406135659048,-28.0694461280495,2.31307984988168e-173,2.8006256804623e-170
"19","ENSMUSG00000026600",4925.96508812135,-3.01475543363146,0.10795696562582,-27.9255295492523,1.30713759050968e-171,1.49935561302989e-168
"20","ENSMUSG00000033777",2959.39850890201,-4.60919103993612,0.165385534965815,-27.8693722573068,6.27449401486809e-171,6.83731612800176e-168
"21","ENSMUSG00000024300",8417.82342903414,-3.46760727317085,0.125038032665454,-27.7324202824642,2.83948819400138e-169,2.94684789047934e-166
"22","ENSMUSG00000004933",1072.77458319097,-3.06737593637731,0.111311094032318,-27.5567854493169,3.66983119080081e-167,3.63546822601423e-164
"23","ENSMUSG00000029919",4003.47070560364,-3.82243571669821,0.139382140148176,-27.4241428107977,1.4136790191315e-165,1.33955306708486e-162
"24","ENSMUSG00000061132",2552.6262037284,-3.35609489331945,0.124105519007888,-27.0422695150741,4.70899431259088e-161,4.27615925202524e-158
"25","ENSMUSG00000056888",1036.11913737909,-4.72795992121499,0.175178655713744,-26.9893606726886,1.97036318411008e-160,1.71768380937981e-157
"26","ENSMUSG00000022667",1558.26276541515,-3.04319330629837,0.11298960627967,-26.9333915436958,8.92889680160147e-160,7.48447603438856e-157
"27","ENSMUSG00000018774",14965.4663116746,-3.51897868025127,0.131358423242345,-26.7891361162204,4.32478045164072e-158,3.49089870974288e-155
"28","ENSMUSG00000040552",8632.66846523929,-3.63019566406152,0.135912401930608,-26.7098190635684,3.61981514168572e-157,2.81750897135352e-154
"29","ENSMUSG00000029254",1508.63613804397,-4.68829237162812,0.175596129340507,-26.6992922294821,4.79671104296087e-157,3.60481105069963e-154
"30","ENSMUSG00000079625",1086.90889850451,-6.15902069094364,0.230715500334823,-26.6953051789127,5.33624856602644e-157,3.87660670826601e-154
"31","ENSMUSG00000038147",6149.86933027541,-3.73392794389132,0.143266368403074,-26.0628365576076,9.62410301848648e-150,6.76605487693207e-147
"32","ENSMUSG00000044811",1945.57420063132,-3.86468742703809,0.148985963614093,-25.9399431549705,2.36130000114236e-148,1.60819288202802e-145
"33","ENSMUSG00000024737",2973.90799450302,-4.29568881906049,0.165917644008291,-25.8904882885501,8.52283080484974e-148,5.62868407760288e-145
"34","ENSMUSG00000031438",2805.31738717045,-5.5375481866003,0.214373548386823,-25.8313034806336,3.94724312767947e-147,2.53018284484254e-144
"35","ENSMUSG00000056737",11597.5048061638,-2.82016119169021,0.110242216764085,-25.5814993064343,2.45105110843587e-144,1.52623451020718e-141
"36","ENSMUSG00000021998",24809.6657492284,-3.2301392470726,0.127158616259117,-25.4024409992822,2.3700201876416e-142,1.43478388804058e-139
"37","ENSMUSG00000074802",1174.05766355072,-3.49576544079446,0.138026653975584,-25.326741901697,1.62152213759326e-141,9.55120363965068e-139
"38","ENSMUSG00000060131",1158.4391514007,-3.47355704576615,0.137821224865406,-25.2033534686574,3.6805545621918e-140,2.110894898116e-137
"39","ENSMUSG00000024696",1535.15856087189,-2.89514213822797,0.115597308285901,-25.0450653320367,1.97592764074309e-138,1.10418889749628e-135
"40","ENSMUSG00000043157",965.609677967471,-3.35999818057507,0.134186555862085,-25.0397527456359,2.25757090319927e-138,1.23003750660812e-135
"41","ENSMUSG00000066510",525.864070937459,-4.93708451369973,0.1979223318349,-24.9445551087084,2.44659025227319e-137,1.30051190141565e-134
"42","ENSMUSG00000046711",3138.45604453272,-2.69206145943884,0.108585709305389,-24.7920419423482,1.09240453736462e-135,5.6685391636487e-133
"43","ENSMUSG00000097715",2908.99094105415,-2.38397374346044,0.0964899309569685,-24.7069691087624,9.00084133372095e-135,4.56196130295615e-132
"44","ENSMUSG00000029189",478.445348528476,-4.67456301897213,0.189793054764852,-24.6297896662435,6.06020248426725e-134,3.00172847595728e-131
"45","ENSMUSG00000026437",2180.50435609342,-3.98998630796137,0.162334201952089,-24.5788395789752,2.12721601744957e-133,1.03023435298435e-130
"46","ENSMUSG00000103847",916.930351287437,-4.78041092272526,0.194590135789568,-24.5665634762434,2.87763576144702e-133,1.36337377793427e-130
"47","ENSMUSG00000034652",4266.78503483485,-3.94945039343149,0.161193586441942,-24.5012874308991,1.43120029002557e-132,6.63650619591857e-130
